sentence_id annotator_id adj_subj subj landmark verb adj_obj obj annotator_score
1 1 private company file register annual account 5
1 10 private company file register annual account 6
1 11 private company file register annual account 7
1 12 private company file register annual account 5
1 13 private company file register annual account 6
1 14 private company file register annual account 5
1 15 private company file register annual account 6
1 16 private company file register annual account 5
1 17 private company file register annual account 5
1 18 private company file register annual account 5
1 19 private company file register annual account 2
1 2 private company file register annual account 4
1 20 private company file register annual account 5
1 21 private company file register annual account 6
1 22 private company file register annual account 6
1 23 private company file register annual account 5
1 24 private company file register annual account 6
1 25 private company file register annual account 4
1 26 private company file register annual account 5
1 27 private company file register annual account 5
1 28 private company file register annual account 7
1 29 private company file register annual account 7
1 3 private company file register annual account 4
1 30 private company file register annual account 6
1 31 private company file register annual account 6
1 32 private company file register annual account 6
1 33 private company file register annual account 4
1 34 private company file register annual account 5
1 35 private company file register annual account 5
1 36 private company file register annual account 5
1 37 private company file register annual account 5
1 38 private company file register annual account 5
1 39 private company file register annual account 6
1 4 private company file register annual account 5
1 40 private company file register annual account 5
1 41 private company file register annual account 6
1 42 private company file register annual account 7
1 43 private company file register annual account 7
1 5 private company file register annual account 6
1 6 private company file register annual account 6
1 7 private company file register annual account 5
1 8 private company file register annual account 6
1 9 private company file register annual account 7
2 1 private company file smooth annual account 2
2 10 private company file smooth annual account 2
2 11 private company file smooth annual account 1
2 12 private company file smooth annual account 3
2 13 private company file smooth annual account 3
2 14 private company file smooth annual account 2
2 15 private company file smooth annual account 4
2 16 private company file smooth annual account 2
2 17 private company file smooth annual account 2
2 18 private company file smooth annual account 1
2 19 private company file smooth annual account 3
2 2 private company file smooth annual account 3
2 20 private company file smooth annual account 2
2 21 private company file smooth annual account 1
2 22 private company file smooth annual account 3
2 23 private company file smooth annual account 2
2 24 private company file smooth annual account 2
2 25 private company file smooth annual account 1
2 26 private company file smooth annual account 2
2 27 private company file smooth annual account 3
2 28 private company file smooth annual account 1
2 29 private company file smooth annual account 2
2 3 private company file smooth annual account 2
2 30 private company file smooth annual account 1
2 31 private company file smooth annual account 5
2 32 private company file smooth annual account 1
2 33 private company file smooth annual account 1
2 34 private company file smooth annual account 3
2 35 private company file smooth annual account 2
2 36 private company file smooth annual account 3
2 37 private company file smooth annual account 3
2 38 private company file smooth annual account 3
2 39 private company file smooth annual account 3
2 4 private company file smooth annual account 3
2 40 private company file smooth annual account 1
2 41 private company file smooth annual account 2
2 42 private company file smooth annual account 1
2 43 private company file smooth annual account 5
2 5 private company file smooth annual account 4
2 6 private company file smooth annual account 2
2 7 private company file smooth annual account 2
2 8 private company file smooth annual account 3
2 9 private company file smooth annual account 2
3 1 young woman file register long nail 1
3 10 young woman file register long nail 1
3 11 young woman file register long nail 1
3 12 young woman file register long nail 2
3 13 young woman file register long nail 1
3 14 young woman file register long nail 4
3 15 young woman file register long nail 3
3 16 young woman file register long nail 3
3 17 young woman file register long nail 2
3 18 young woman file register long nail 1
3 19 young woman file register long nail 1
3 2 young woman file register long nail 4
3 20 young woman file register long nail 5
3 21 young woman file register long nail 1
3 22 young woman file register long nail 1
3 23 young woman file register long nail 1
3 24 young woman file register long nail 2
3 25 young woman file register long nail 1
3 26 young woman file register long nail 2
3 27 young woman file register long nail 1
3 28 young woman file register long nail 1
3 29 young woman file register long nail 1
3 3 young woman file register long nail 1
3 30 young woman file register long nail 1
3 31 young woman file register long nail 2
3 32 young woman file register long nail 1
3 33 young woman file register long nail 1
3 34 young woman file register long nail 1
3 35 young woman file register long nail 5
3 36 young woman file register long nail 1
3 37 young woman file register long nail 5
3 38 young woman file register long nail 2
3 39 young woman file register long nail 3
3 4 young woman file register long nail 2
3 40 young woman file register long nail 1
3 41 young woman file register long nail 2
3 42 young woman file register long nail 1
3 43 young woman file register long nail 6
3 5 young woman file register long nail 1
3 6 young woman file register long nail 5
3 7 young woman file register long nail 1
3 8 young woman file register long nail 2
3 9 young woman file register long nail 5
4 1 young woman file smooth long nail 6
4 10 young woman file smooth long nail 6
4 11 young woman file smooth long nail 7
4 12 young woman file smooth long nail 4
4 13 young woman file smooth long nail 7
4 14 young woman file smooth long nail 1
4 15 young woman file smooth long nail 7
4 16 young woman file smooth long nail 5
4 17 young woman file smooth long nail 6
4 18 young woman file smooth long nail 6
4 19 young woman file smooth long nail 5
4 2 young woman file smooth long nail 3
4 20 young woman file smooth long nail 2
4 21 young woman file smooth long nail 7
4 22 young woman file smooth long nail 6
4 23 young woman file smooth long nail 6
4 24 young woman file smooth long nail 6
4 25 young woman file smooth long nail 7
4 26 young woman file smooth long nail 2
4 27 young woman file smooth long nail 6
4 28 young woman file smooth long nail 5
4 29 young woman file smooth long nail 6
4 3 young woman file smooth long nail 2
4 30 young woman file smooth long nail 5
4 31 young woman file smooth long nail 2
4 32 young woman file smooth long nail 7
4 33 young woman file smooth long nail 7
4 34 young woman file smooth long nail 6
4 35 young woman file smooth long nail 2
4 36 young woman file smooth long nail 6
4 37 young woman file smooth long nail 3
4 38 young woman file smooth long nail 2
4 39 young woman file smooth long nail 5
4 4 young woman file smooth long nail 6
4 40 young woman file smooth long nail 6
4 41 young woman file smooth long nail 7
4 42 young woman file smooth long nail 7
4 43 young woman file smooth long nail 5
4 5 young woman file smooth long nail 6
4 6 young woman file smooth long nail 2
4 7 young woman file smooth long nail 6
4 8 young woman file smooth long nail 6
4 9 young woman file smooth long nail 2
5 1 local government file register criminal charge 7
5 10 local government file register criminal charge 6
5 11 local government file register criminal charge 3
5 12 local government file register criminal charge 4
5 13 local government file register criminal charge 7
5 14 local government file register criminal charge 3
5 15 local government file register criminal charge 6
5 16 local government file register criminal charge 6
5 17 local government file register criminal charge 7
5 18 local government file register criminal charge 4
5 19 local government file register criminal charge 3
5 2 local government file register criminal charge 5
5 20 local government file register criminal charge 5
5 21 local government file register criminal charge 7
5 22 local government file register criminal charge 6
5 23 local government file register criminal charge 2
5 24 local government file register criminal charge 5
5 25 local government file register criminal charge 3
5 26 local government file register criminal charge 6
5 27 local government file register criminal charge 5
5 28 local government file register criminal charge 6
5 29 local government file register criminal charge 7
5 3 local government file register criminal charge 5
5 30 local government file register criminal charge 6
5 31 local government file register criminal charge 6
5 32 local government file register criminal charge 6
5 33 local government file register criminal charge 4
5 34 local government file register criminal charge 5
5 35 local government file register criminal charge 6
5 36 local government file register criminal charge 4
5 37 local government file register criminal charge 5
5 38 local government file register criminal charge 6
5 39 local government file register criminal charge 7
5 4 local government file register criminal charge 6
5 40 local government file register criminal charge 6
5 41 local government file register criminal charge 7
5 42 local government file register criminal charge 7
5 43 local government file register criminal charge 6
5 5 local government file register criminal charge 6
5 6 local government file register criminal charge 5
5 7 local government file register criminal charge 6
5 8 local government file register criminal charge 6
5 9 local government file register criminal charge 6
6 1 local government file smooth criminal charge 1
6 10 local government file smooth criminal charge 1
6 11 local government file smooth criminal charge 1
6 12 local government file smooth criminal charge 1
6 13 local government file smooth criminal charge 2
6 14 local government file smooth criminal charge 1
6 15 local government file smooth criminal charge 3
6 16 local government file smooth criminal charge 1
6 17 local government file smooth criminal charge 2
6 18 local government file smooth criminal charge 1
6 19 local government file smooth criminal charge 2
6 2 local government file smooth criminal charge 3
6 20 local government file smooth criminal charge 2
6 21 local government file smooth criminal charge 1
6 22 local government file smooth criminal charge 1
6 23 local government file smooth criminal charge 2
6 24 local government file smooth criminal charge 2
6 25 local government file smooth criminal charge 1
6 26 local government file smooth criminal charge 3
6 27 local government file smooth criminal charge 1
6 28 local government file smooth criminal charge 1
6 29 local government file smooth criminal charge 2
6 3 local government file smooth criminal charge 1
6 30 local government file smooth criminal charge 1
6 31 local government file smooth criminal charge 5
6 32 local government file smooth criminal charge 1
6 33 local government file smooth criminal charge 1
6 34 local government file smooth criminal charge 2
6 35 local government file smooth criminal charge 2
6 36 local government file smooth criminal charge 1
6 37 local government file smooth criminal charge 3
6 38 local government file smooth criminal charge 1
6 39 local government file smooth criminal charge 2
6 4 local government file smooth criminal charge 2
6 40 local government file smooth criminal charge 1
6 41 local government file smooth criminal charge 2
6 42 local government file smooth criminal charge 1
6 43 local government file smooth criminal charge 2
6 5 local government file smooth criminal charge 2
6 6 local government file smooth criminal charge 2
6 7 local government file smooth criminal charge 2
6 8 local government file smooth criminal charge 2
6 9 local government file smooth criminal charge 1
7 1 dental service file register false tooth 1
7 10 dental service file register false tooth 5
7 11 dental service file register false tooth 1
7 12 dental service file register false tooth 2
7 13 dental service file register false tooth 1
7 14 dental service file register false tooth 3
7 15 dental service file register false tooth 3
7 16 dental service file register false tooth 2
7 17 dental service file register false tooth 3
7 18 dental service file register false tooth 2
7 19 dental service file register false tooth 3
7 2 dental service file register false tooth 4
7 20 dental service file register false tooth 5
7 21 dental service file register false tooth 1
7 22 dental service file register false tooth 1
7 23 dental service file register false tooth 2
7 24 dental service file register false tooth 2
7 25 dental service file register false tooth 6
7 26 dental service file register false tooth 2
7 27 dental service file register false tooth 5
7 28 dental service file register false tooth 2
7 29 dental service file register false tooth 2
7 3 dental service file register false tooth 6
7 30 dental service file register false tooth 1
7 31 dental service file register false tooth 6
7 32 dental service file register false tooth 1
7 33 dental service file register false tooth 2
7 34 dental service file register false tooth 1
7 35 dental service file register false tooth 6
7 36 dental service file register false tooth 3
7 37 dental service file register false tooth 5
7 38 dental service file register false tooth 1
7 39 dental service file register false tooth 3
7 4 dental service file register false tooth 2
7 40 dental service file register false tooth 1
7 41 dental service file register false tooth 2
7 42 dental service file register false tooth 1
7 43 dental service file register false tooth 5
7 5 dental service file register false tooth 2
7 6 dental service file register false tooth 6
7 7 dental service file register false tooth 2
7 8 dental service file register false tooth 2
7 9 dental service file register false tooth 6
8 1 dental service file smooth false tooth 7
8 10 dental service file smooth false tooth 1
8 11 dental service file smooth false tooth 7
8 12 dental service file smooth false tooth 4
8 13 dental service file smooth false tooth 6
8 14 dental service file smooth false tooth 2
8 15 dental service file smooth false tooth 6
8 16 dental service file smooth false tooth 4
8 17 dental service file smooth false tooth 3
8 18 dental service file smooth false tooth 6
8 19 dental service file smooth false tooth 1
8 2 dental service file smooth false tooth 4
8 20 dental service file smooth false tooth 2
8 21 dental service file smooth false tooth 6
8 22 dental service file smooth false tooth 6
8 23 dental service file smooth false tooth 6
8 24 dental service file smooth false tooth 5
8 25 dental service file smooth false tooth 6
8 26 dental service file smooth false tooth 4
8 27 dental service file smooth false tooth 1
8 28 dental service file smooth false tooth 4
8 29 dental service file smooth false tooth 6
8 3 dental service file smooth false tooth 2
8 30 dental service file smooth false tooth 6
8 31 dental service file smooth false tooth 5
8 32 dental service file smooth false tooth 2
8 33 dental service file smooth false tooth 7
8 34 dental service file smooth false tooth 6
8 35 dental service file smooth false tooth 2
8 36 dental service file smooth false tooth 5
8 37 dental service file smooth false tooth 3
8 38 dental service file smooth false tooth 3
8 39 dental service file smooth false tooth 4
8 4 dental service file smooth false tooth 6
8 40 dental service file smooth false tooth 6
8 41 dental service file smooth false tooth 6
8 42 dental service file smooth false tooth 7
8 43 dental service file smooth false tooth 4
8 5 dental service file smooth false tooth 5
8 6 dental service file smooth false tooth 2
8 7 dental service file smooth false tooth 6
8 8 dental service file smooth false tooth 6
8 9 dental service file smooth false tooth 2
9 1 successful applicant file register new application 7
9 10 successful applicant file register new application 7
9 11 successful applicant file register new application 5
9 12 successful applicant file register new application 5
9 13 successful applicant file register new application 6
9 14 successful applicant file register new application 6
9 15 successful applicant file register new application 5
9 16 successful applicant file register new application 6
9 17 successful applicant file register new application 7
9 18 successful applicant file register new application 6
9 19 successful applicant file register new application 6
9 2 successful applicant file register new application 5
9 20 successful applicant file register new application 5
9 21 successful applicant file register new application 6
9 22 successful applicant file register new application 6
9 23 successful applicant file register new application 5
9 24 successful applicant file register new application 6
9 25 successful applicant file register new application 3
9 26 successful applicant file register new application 6
9 27 successful applicant file register new application 6
9 28 successful applicant file register new application 7
9 29 successful applicant file register new application 6
9 3 successful applicant file register new application 6
9 30 successful applicant file register new application 6
9 31 successful applicant file register new application 6
9 32 successful applicant file register new application 7
9 33 successful applicant file register new application 6
9 34 successful applicant file register new application 6
9 35 successful applicant file register new application 6
9 36 successful applicant file register new application 6
9 37 successful applicant file register new application 6
9 38 successful applicant file register new application 6
9 39 successful applicant file register new application 7
9 4 successful applicant file register new application 6
9 40 successful applicant file register new application 7
9 41 successful applicant file register new application 7
9 42 successful applicant file register new application 7
9 43 successful applicant file register new application 7
9 5 successful applicant file register new application 7
9 6 successful applicant file register new application 6
9 7 successful applicant file register new application 6
9 8 successful applicant file register new application 6
9 9 successful applicant file register new application 6
10 1 successful applicant file smooth new application 1
10 10 successful applicant file smooth new application 2
10 11 successful applicant file smooth new application 1
10 12 successful applicant file smooth new application 1
10 13 successful applicant file smooth new application 2
10 14 successful applicant file smooth new application 1
10 15 successful applicant file smooth new application 4
10 16 successful applicant file smooth new application 4
10 17 successful applicant file smooth new application 3
10 18 successful applicant file smooth new application 1
10 19 successful applicant file smooth new application 1
10 2 successful applicant file smooth new application 3
10 20 successful applicant file smooth new application 2
10 21 successful applicant file smooth new application 1
10 22 successful applicant file smooth new application 1
10 23 successful applicant file smooth new application 2
10 24 successful applicant file smooth new application 2
10 25 successful applicant file smooth new application 1
10 26 successful applicant file smooth new application 6
10 27 successful applicant file smooth new application 1
10 28 successful applicant file smooth new application 3
10 29 successful applicant file smooth new application 2
10 3 successful applicant file smooth new application 2
10 30 successful applicant file smooth new application 1
10 31 successful applicant file smooth new application 5
10 32 successful applicant file smooth new application 1
10 33 successful applicant file smooth new application 2
10 34 successful applicant file smooth new application 1
10 35 successful applicant file smooth new application 2
10 36 successful applicant file smooth new application 3
10 37 successful applicant file smooth new application 3
10 38 successful applicant file smooth new application 2
10 39 successful applicant file smooth new application 4
10 4 successful applicant file smooth new application 2
10 40 successful applicant file smooth new application 1
10 41 successful applicant file smooth new application 2
10 42 successful applicant file smooth new application 1
10 43 successful applicant file smooth new application 5
10 5 successful applicant file smooth new application 4
10 6 successful applicant file smooth new application 2
10 7 successful applicant file smooth new application 1
10 8 successful applicant file smooth new application 2
10 9 successful applicant file smooth new application 5
11 1 tall englishman file register stainless steel 1
11 10 tall englishman file register stainless steel 1
11 11 tall englishman file register stainless steel 2
11 12 tall englishman file register stainless steel 2
11 13 tall englishman file register stainless steel 1
11 14 tall englishman file register stainless steel 1
11 15 tall englishman file register stainless steel 3
11 16 tall englishman file register stainless steel 2
11 17 tall englishman file register stainless steel 2
11 18 tall englishman file register stainless steel 2
11 19 tall englishman file register stainless steel 1
11 2 tall englishman file register stainless steel 3
11 20 tall englishman file register stainless steel 5
11 21 tall englishman file register stainless steel 1
11 22 tall englishman file register stainless steel 1
11 23 tall englishman file register stainless steel 2
11 24 tall englishman file register stainless steel 2
11 25 tall englishman file register stainless steel 1
11 26 tall englishman file register stainless steel 2
11 27 tall englishman file register stainless steel 1
11 28 tall englishman file register stainless steel 3
11 29 tall englishman file register stainless steel 1
11 3 tall englishman file register stainless steel 2
11 30 tall englishman file register stainless steel 1
11 31 tall englishman file register stainless steel 6
11 32 tall englishman file register stainless steel 1
11 33 tall englishman file register stainless steel 7
11 34 tall englishman file register stainless steel 5
11 35 tall englishman file register stainless steel 6
11 36 tall englishman file register stainless steel 1
11 37 tall englishman file register stainless steel 5
11 38 tall englishman file register stainless steel 4
11 39 tall englishman file register stainless steel 3
11 4 tall englishman file register stainless steel 2
11 40 tall englishman file register stainless steel 1
11 41 tall englishman file register stainless steel 2
11 42 tall englishman file register stainless steel 1
11 43 tall englishman file register stainless steel 5
11 5 tall englishman file register stainless steel 2
11 6 tall englishman file register stainless steel 5
11 7 tall englishman file register stainless steel 2
11 8 tall englishman file register stainless steel 2
11 9 tall englishman file register stainless steel 6
12 1 tall englishman file smooth stainless steel 5
12 10 tall englishman file smooth stainless steel 6
12 11 tall englishman file smooth stainless steel 7
12 12 tall englishman file smooth stainless steel 5
12 13 tall englishman file smooth stainless steel 6
12 14 tall englishman file smooth stainless steel 4
12 15 tall englishman file smooth stainless steel 6
12 16 tall englishman file smooth stainless steel 5
12 17 tall englishman file smooth stainless steel 2
12 18 tall englishman file smooth stainless steel 4
12 19 tall englishman file smooth stainless steel 1
12 2 tall englishman file smooth stainless steel 3
12 20 tall englishman file smooth stainless steel 2
12 21 tall englishman file smooth stainless steel 6
12 22 tall englishman file smooth stainless steel 6
12 23 tall englishman file smooth stainless steel 6
12 24 tall englishman file smooth stainless steel 6
12 25 tall englishman file smooth stainless steel 6
12 26 tall englishman file smooth stainless steel 3
12 27 tall englishman file smooth stainless steel 7
12 28 tall englishman file smooth stainless steel 5
12 29 tall englishman file smooth stainless steel 7
12 3 tall englishman file smooth stainless steel 2
12 30 tall englishman file smooth stainless steel 6
12 31 tall englishman file smooth stainless steel 5
12 32 tall englishman file smooth stainless steel 6
12 33 tall englishman file smooth stainless steel 7
12 34 tall englishman file smooth stainless steel 6
12 35 tall englishman file smooth stainless steel 2
12 36 tall englishman file smooth stainless steel 5
12 37 tall englishman file smooth stainless steel 3
12 38 tall englishman file smooth stainless steel 4
12 39 tall englishman file smooth stainless steel 3
12 4 tall englishman file smooth stainless steel 6
12 40 tall englishman file smooth stainless steel 6
12 41 tall englishman file smooth stainless steel 7
12 42 tall englishman file smooth stainless steel 6
12 43 tall englishman file smooth stainless steel 3
12 5 tall englishman file smooth stainless steel 2
12 6 tall englishman file smooth stainless steel 2
12 7 tall englishman file smooth stainless steel 6
12 8 tall englishman file smooth stainless steel 6
12 9 tall englishman file smooth stainless steel 2
13 1 monetary union file register civil lawsuit 6
13 10 monetary union file register civil lawsuit 7
13 11 monetary union file register civil lawsuit 6
13 12 monetary union file register civil lawsuit 4
13 13 monetary union file register civil lawsuit 7
13 14 monetary union file register civil lawsuit 3
13 15 monetary union file register civil lawsuit 6
13 16 monetary union file register civil lawsuit 6
13 17 monetary union file register civil lawsuit 7
13 18 monetary union file register civil lawsuit 5
13 19 monetary union file register civil lawsuit 4
13 2 monetary union file register civil lawsuit 6
13 20 monetary union file register civil lawsuit 5
13 21 monetary union file register civil lawsuit 7
13 22 monetary union file register civil lawsuit 6
13 23 monetary union file register civil lawsuit 2
13 24 monetary union file register civil lawsuit 6
13 26 monetary union file register civil lawsuit 6
13 27 monetary union file register civil lawsuit 6
13 28 monetary union file register civil lawsuit 7
13 29 monetary union file register civil lawsuit 7
13 3 monetary union file register civil lawsuit 5
13 30 monetary union file register civil lawsuit 6
13 31 monetary union file register civil lawsuit 6
13 32 monetary union file register civil lawsuit 6
13 33 monetary union file register civil lawsuit 6
13 34 monetary union file register civil lawsuit 6
13 35 monetary union file register civil lawsuit 6
13 36 monetary union file register civil lawsuit 6
13 37 monetary union file register civil lawsuit 6
13 38 monetary union file register civil lawsuit 7
13 39 monetary union file register civil lawsuit 7
13 4 monetary union file register civil lawsuit 6
13 40 monetary union file register civil lawsuit 6
13 41 monetary union file register civil lawsuit 7
13 42 monetary union file register civil lawsuit 6
13 43 monetary union file register civil lawsuit 6
13 5 monetary union file register civil lawsuit 6
13 6 monetary union file register civil lawsuit 6
13 7 monetary union file register civil lawsuit 6
13 8 monetary union file register civil lawsuit 6
13 9 monetary union file register civil lawsuit 6
14 1 monetary union file smooth civil lawsuit 1
14 10 monetary union file smooth civil lawsuit 2
14 11 monetary union file smooth civil lawsuit 1
14 12 monetary union file smooth civil lawsuit 2
14 13 monetary union file smooth civil lawsuit 2
14 14 monetary union file smooth civil lawsuit 2
14 15 monetary union file smooth civil lawsuit 3
14 16 monetary union file smooth civil lawsuit 3
14 17 monetary union file smooth civil lawsuit 2
14 18 monetary union file smooth civil lawsuit 1
14 19 monetary union file smooth civil lawsuit 1
14 2 monetary union file smooth civil lawsuit 6
14 20 monetary union file smooth civil lawsuit 2
14 21 monetary union file smooth civil lawsuit 1
14 22 monetary union file smooth civil lawsuit 1
14 23 monetary union file smooth civil lawsuit 2
14 24 monetary union file smooth civil lawsuit 2
14 25 monetary union file smooth civil lawsuit 1
14 26 monetary union file smooth civil lawsuit 6
14 27 monetary union file smooth civil lawsuit 2
14 28 monetary union file smooth civil lawsuit 2
14 29 monetary union file smooth civil lawsuit 2
